Date,Type,Team,Conf.,Opp.,Venue,Adj. O,Adj. D,T,O.EFF,O.eFG%,O.TO%,O.Reb%,O.FTR,D.EFF,D.eFG%,D.TO%,D.Reb%,D.FTR,G-Sc,+/-,Win,Points_For,Points_Against,Point_Differential
2017-11-10,N,Hawaii,BW,Arkansas Pine Bluff,Home,102.7,105.7,75.2,109.1,52.9,20.0,31.0,82.4,93.1,45.6,20.0,27.0,42.1,41.8,8,1,82,70,12
2017-11-10,N,Syracuse,ACC,Cornell,Home,102.6,75.2,65.4,117.6,45.7,12.2,48.8,25.7,68.8,28.8,22.9,29.8,50.0,97.3,11,1,77,45,32
2017-11-10,N,Northern Arizona,BSky,Arizona,Away,102.6,119.2,72.2,92.8,43.1,18.0,27.9,51.7,139.8,64.0,15.2,52.2,56.1,15.2,-13,0,101,67,34
2017-11-10,N,Iona,MAAC,Albany,Away,102.4,103.5,65.3,102.5,47.5,10.7,20.0,23.7,105.6,41.9,19.9,48.7,30.6,47.0,-3,0,69,67,2
2017-11-10,N,Texas Southern,SWAC,Gonzaga,Away,102.4,108.2,77.2,89.4,38.9,13.0,28.8,31.9,125.7,56.2,18.1,50.0,30.6,34.8,-13,0,97,69,28
2017-11-10,N,Albany,AE,Iona,Home,102.1,98.6,65.3,105.6,41.9,19.9,48.7,30.6,102.5,47.5,10.7,20.0,23.7,60.0,3,1,69,67,2
2017-11-10,N,Stanford,P12,Cal Poly,Home,101.9,97.5,69.6,112.1,57.5,23.0,36.7,43.4,89.1,46.7,15.8,14.3,15.0,62.3,10,1,78,62,16
2017-11-10,N,UC Riverside,BW,California,Away,101.9,85.0,78.0,94.9,44.3,16.7,33.3,34.3,84.7,33.9,14.1,28.0,62.9,89.0,13,1,74,66,8
2017-11-10,N,Hofstra,CAA,Army,Home,101.8,111.0,71.6,107.5,46.0,19.6,41.7,33.3,103.4,52.3,18.2,31.6,16.9,27.0,1,1,77,74,3
2017-11-10,N,Utah Valley,WAC,Kentucky,Away,101.7,89.1,70.7,89.1,45.5,28.3,44.4,32.1,103.2,43.2,19.8,43.9,34.8,82.1,-2,0,73,63,10
2017-11-10,N,Southern Utah,BSky,Oregon St.,Away,101.6,116.9,82.7,99.1,43.9,16.9,21.4,80.7,119.7,57.9,15.7,31.4,55.6,16.7,-14,0,99,82,17
2017-11-10,N,Idaho St.,BSky,Arizona St.,Away,101.3,109.9,75.9,97.5,51.7,18.4,21.6,37.3,123.8,59.2,14.5,36.4,40.0,28.0,-12,0,94,74,20
2017-11-10,N,UCLA,P12,Georgia Tech,Neutral,101.2,88.3,67.2,93.7,45.4,20.8,31.4,38.9,89.2,37.9,16.4,30.6,34.5,82.8,5,1,63,60,3
2017-11-10,N,Cincinnati,Amer,Savannah St.,Home,101.2,93.2,92.0,116.3,55.2,21.7,50.0,27.9,83.7,43.9,18.5,14.9,21.6,72.0,10,1,107,77,30
2017-11-10,N,Ball St.,MAC,Dayton,Away,101.1,101.2,74.4,103.5,53.0,16.1,18.4,11.9,104.9,51.7,14.8,20.0,39.7,49.7,-3,0,78,77,1
2017-11-10,N,Western Kentucky,CUSA,Missouri St.,Home,101.1,113.2,75.8,105.5,46.4,19.8,32.5,64.3,112.1,60.7,23.7,34.4,29.5,21.5,-9,0,85,80,5
2017-11-10,N,Kentucky,SEC,Utah Valley,Home,101.1,89.3,70.7,103.2,43.2,19.8,43.9,34.8,89.1,45.5,28.3,44.4,32.1,80.7,2,1,73,63,10
2017-11-10,N,Arkansas St.,SB,Evansville,Away,100.8,116.7,69.4,90.7,44.9,23.0,33.3,20.3,110.9,50.0,18.7,29.4,66.7,15.6,-8,0,77,63,14
2017-11-10,N,Army,Pat,Hofstra,Away,100.6,100.1,71.6,103.4,52.3,18.2,31.6,16.9,107.5,46.0,19.6,41.7,33.3,51.2,-1,0,77,74,3
2017-11-10,N,Texas Tech,B12,South Alabama,Home,100.6,82.2,71.8,104.4,52.7,25.1,38.7,39.3,69.6,38.0,33.4,31.7,65.2,91.0,6,1,75,50,25
2017-11-10,N,Evansville,MVC,Arkansas St.,Home,100.4,92.4,69.4,110.9,50.0,18.7,29.4,66.7,90.7,44.9,23.0,33.3,20.3,72.3,8,1,77,63,14
2017-11-10,N,Miami FL,ACC,Gardner Webb,Home,100.3,78.3,69.9,110.1,55.8,17.2,31.6,35.0,64.4,34.9,20.0,21.7,9.5,94.5,7,1,77,45,32
2017-11-10,N,Navy,Pat,Pittsburgh,Home,100.3,95.3,70.3,100.9,50.9,22.7,26.5,32.7,88.1,49.1,18.5,14.3,27.3,64.4,5,1,71,62,9
2017-11-10,N,Providence,BE,Houston Christian,Home,99.8,85.2,72.5,115.8,56.5,16.5,33.3,35.5,75.8,34.9,24.8,34.0,25.4,86.1,11,1,84,55,29
2017-11-10,N,Connecticut,Amer,Colgate,Home,99.6,88.0,67.1,104.4,42.6,13.4,31.6,31.1,86.5,46.2,20.9,17.1,28.8,80.4,7,1,70,58,12
2017-11-10,N,Villanova,BE,Columbia,Home,99.6,86.0,68.6,109.4,45.5,10.2,37.2,32.8,87.5,49.1,19.0,14.7,21.8,84.4,9,1,75,60,15
2017-11-10,N,Wisconsin,B10,South Carolina St.,Home,99.4,85.9,69.9,121.6,66.1,18.6,30.8,32.1,71.5,39.3,20.0,10.8,16.1,84.2,11,1,85,50,35
2017-11-10,N,Norfolk St.,MEAC,Auburn,Away,99.3,110.5,82.5,89.7,44.3,19.4,21.4,44.3,123.6,61.9,19.4,31.0,47.6,22.5,-15,0,102,74,28
2017-11-10,N,Louisiana Monroe,SB,TCU,Away,99.1,90.8,78.3,93.3,47.8,16.6,22.5,15.9,106.1,54.1,16.6,25.7,45.9,73.3,-5,0,83,73,10
2017-11-10,N,New Orleans,Slnd,St. John's,Away,98.8,106.6,69.5,87.8,42.6,30.2,42.9,38.9,110.8,55.4,15.8,20.6,33.9,29.5,-8,0,77,61,16
2017-11-10,N,Minnesota,B10,USC Upstate,Home,98.6,101.8,77.2,119.2,52.1,16.8,45.5,44.3,99.8,48.5,15.6,24.4,23.5,40.9,7,1,92,77,15
2017-11-10,N,Penn St.,B10,Campbell,Home,98.5,92.0,81.7,105.3,40.8,17.1,36.6,63.1,91.8,45.2,22.0,27.5,37.1,68.7,8,1,86,75,11
2017-11-10,N,Columbia,Ivy,Villanova,Away,98.5,87.7,68.6,87.5,49.1,19.0,14.7,21.8,109.4,45.5,10.2,37.2,32.8,79.2,-9,0,75,60,15
2017-11-10,N,Troy,SB,North Dakota,Neutral,98.4,107.0,78.4,102.0,47.7,16.6,31.7,46.2,105.8,58.5,15.3,17.1,21.5,27.6,0,0,83,80,3
2017-11-10,N,Holy Cross,Pat,Sacred Heart,Away,98.0,96.9,69.8,98.8,56.7,21.5,10.0,28.8,91.6,47.4,28.6,44.7,31.6,53.4,6,1,69,64,5
2017-11-10,N,Oklahoma St.,B12,Pepperdine,Home,97.9,72.7,69.9,111.5,55.9,14.3,18.2,25.4,67.2,31.5,24.3,17.1,63.0,96.9,11,1,78,47,31
